Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
158;12100154841;"Journal of Applied Biological Chemistry";journal;"19760442";0,187;Q4;21;62;176;1811;112;171;0,61;29,21;South Korea;Asiatic Region;"The Korean Society for Applied Biological Chemistry";"2008-2021";"Bioengineering (Q4); Organic Chemistry (Q4)";"Chemical Engineering; Chemistry"
159;4700152615;"Letters in Organic Chemistry";journal;"15701786";0,181;Q4;31;112;406;4551;318;372;0,80;40,63;United Arab Emirates;Middle East;"Bentham Science Publishers B.V.";"2005-2021";"Biochemistry (Q4); Organic Chemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
160;21100218382;"Progress on Chemistry and Application of Chitin and its Derivatives";journal;"18965644";0,172;Q4;11;18;53;645;40;53;0,71;35,83;Poland;Eastern Europe;"Polish Chitin Society";"2012-2020";"Biochemistry (Q4); Organic Chemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
161;7700153229;"Rivista Italiana delle Sostanze Grasse";journal;"00356808";0,172;Q4;16;35;57;488;37;46;0,54;13,94;Italy;Western Europe;"Stazione Sperimentale per le Industrie";"2006-2021";"Organic Chemistry (Q4)";"Chemistry"
162;21100201539;"Spectroscopic Properties of Inorganic and Organometallic Compounds";book series;"14651939, 05848555";0,170;Q4;10;7;9;810;3;8;0,00;115,71;United Kingdom;Western Europe;"Royal Society of Chemistry";"2012-2014, 2016, 2018, 2021";"Inorganic Chemistry (Q4); Organic Chemistry (Q4); Physical and Theoretical Chemistry (Q4)";"Chemistry"
163;18300156734;"Main Group Chemistry";journal;"17451167, 10241221";0,160;Q4;20;55;108;2151;74;108;0,69;39,11;Netherlands;Western Europe;"IOS Press BV";"1995-2000, 2005-2021";"Inorganic Chemistry (Q4); Materials Chemistry (Q4); Organic Chemistry (Q4)";"Chemistry; Materials Science"
164;21100199756;"Organic Communications";journal;"13076175";0,157;Q4;16;23;63;1275;46;61;0,81;55,43;Turkey;Middle East;"";"2008-2021";"Organic Chemistry (Q4)";"Chemistry"
165;12894;"Chinese Journal of Chromatography (Se Pu)";journal;"18722059, 10008713";0,156;Q4;21;159;544;5494;264;544;0,50;34,55;China;Asiatic Region;"Zhongguo Kexueyuan - Chinese Academy of Sciences";"1997-2021";"Analytical Chemistry (Q4); Biochemistry (Q4); Chemical Engineering (miscellaneous) (Q4); Electrochemistry (Q4); Organic Chemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry"
166;24111;"Indian Journal of Chemistry - Section B Organic and Medicinal Chemistry";journal;"03764699, 09750983";0,154;Q4;48;85;162;2648;76;161;0,44;31,15;India;Asiatic Region;"Scientific Publishers of India";"1970, 1973-1978, 1981, 1989-1991, 1996-2018, 2020-2021";"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q3); Organic Chemistry (Q4)";"Chemistry; Pharmacology, Toxicology and Pharmaceutics"
167;21101034401;"Proceedings of the National Academy of Sciences of Belarus, Chemical Series";journal;"15618331, 25242342";0,147;Q4;2;49;53;1093;11;38;0,21;22,31;Belarus;Eastern Europe;"Publishing House Belaruskaya Navuka";"2020-2021";"Analytical Chemistry (Q4); Chemistry (miscellaneous) (Q4); Inorganic Chemistry (Q4); Organic Chemistry (Q4)";"Chemistry"
168;25920;"Yuki Gosei Kagaku Kyokaishi/Journal of Synthetic Organic Chemistry";journal;"18836526, 00379980";0,145;Q4;31;93;372;4065;82;361;0,24;43,71;Japan;Asiatic Region;"Society of Synthetic Organic Chemistry";"1944, 1950-2021";"Organic Chemistry (Q4)";"Chemistry"
169;12100155516;"MolBank";journal;"14228599";0,141;Q4;8;128;201;2655;102;170;0,52;20,74;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2007-2021";"Biochemistry (Q4); Organic Chemistry (Q4); Physical and Theoretical Chemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
170;19800188074;"Medicinal Plants - International Journal of Phytomedicines and Related Industries";journal;"09754261, 09756892";0,136;Q4;10;71;193;2935;81;191;0,44;41,34;Netherlands;Western Europe;"IOS Press BV";"2010-2021";"Drug Discovery (Q4); Organic Chemistry (Q4); Plant Science (Q4)";"Agricultural and Biological Sciences; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
171;24112;"Indian Journal of Heterocyclic Chemistry";journal;"09711627";0,129;Q4;31;78;170;2243;56;170;0,31;28,76;India;Asiatic Region;"Connect Journals";"1996-2021";"Biochemistry (Q4); Organic Chemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
172;21100202726;"Trends in Carbohydrate Research";journal;"09750304";0,129;Q4;8;23;71;1726;24;71;0,38;75,04;India;Asiatic Region;"Association of Carbohydrate Chemists and Technologists";"2009-2020";"Organic Chemistry (Q4)";"Chemistry"
173;24097;"Journal of the Indian Chemical Society";journal;"00194522";0,128;Q4;33;235;368;12815;115;368;0,28;54,53;India;Asiatic Region;"Elsevier BV";"1973-1985, 1987-1991, 1996-2021";"Drug Discovery (Q4); Electrochemistry (Q4); Inorganic Chemistry (Q4); Organic Chemistry (Q4); Physical and Theoretical Chemistry (Q4)";"Chemistry; Pharmacology, Toxicology and Pharmaceutics"
174;21100201730;"Organophosphorus Chemistry";book series;"14651904, 03060713";0,126;Q4;7;11;18;1768;7;8;0,22;160,73;United Kingdom;Western Europe;"Chemical Society";"2008, 2012, 2014-2018, 2020-2021";"Biochemistry (Q4); Organic Chemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
175;21100967334;"Advances in Organic Synthesis";book series;"2212408X, 15740870";0,115;Q4;1;7;7;715;2;2;0,00;102,14;Netherlands;Western Europe;"Bentham Science Publishers B.V.";"2018";"Organic Chemistry (Q4); Physical and Theoretical Chemistry (Q4)";"Chemistry"
176;21101021451;"Iranian Journal of Polymer Science and Technology";journal;"10163255, 20080883";0,115;Q4;2;30;48;1689;15;48;0,31;56,30;Iran;Middle East;"Iran Polymer and Petrochemical Institute";"2019-2021";"Materials Chemistry (Q4); Organic Chemistry (Q4); Polymers and Plastics (Q4)";"Chemistry; Materials Science"
177;68395;"Celulosa Y Papel";trade journal;"07162308";0,101;Q4;2;0;25;0;0;25;0,00;0,00;Chile;Latin America;"ATCP Asociacion Tecnica de la Celulosa y el Papel";"1999-2019";"Materials Chemistry (Q4); Organic Chemistry (Q4)";"Chemistry; Materials Science"
178;21101038672;"Reference Series in Phytochemistry";book series;"2511834X, 25118358";;-;10;34;230;2971;274;0;1,26;87,38;Switzerland;Western Europe;"Springer Science and Business Media B.V.";"2017-2021";"Biochemistry; Organic Chemistry; Plant Science; Toxicology";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
179;21101041508;"Research Journal of Pharmacognosy";journal;"23455977, 23454458";;-;1;31;0;1323;0;0;0,00;42,68;Iran;Middle East;"Iranian Society of Pharmacognosy";"2020-2021";"Complementary and Alternative Medicine; Drug Discovery; Organic Chemistry";"Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics"
180;21101053560;"Trends in Phytochemical Research";journal;"25883623, 25883631";;-;2;24;0;1162;0;0;0,00;48,42;Iran;Middle East;"Islamic Azad University";"2021";"Biochemistry; Drug Discovery; Organic Chemistry; Pharmacology; Plant Science";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
